
U(x, u) = x^2 + u^2

+-------+------------+-------------+---------------+-------------+
|   x   |   Пикар    | Явный Эйлер | Неявный Эйлер | Рунге-Кутта |
| 0.023 | 3.8477e-06 |  3.8222e-06 |   3.8223e-06  |  3.8478e-06 |
| 0.023 | 3.8990e-06 |  3.8733e-06 |   3.8733e-06  |  3.8991e-06 |
| 0.023 | 3.9508e-06 |  3.9248e-06 |   3.9249e-06  |  3.9508e-06 |
| 0.023 | 4.0030e-06 |  3.9768e-06 |   3.9768e-06  |  4.0030e-06 |
| 0.023 | 4.0557e-06 |  4.0293e-06 |   4.0293e-06  |  4.0557e-06 |
| 0.023 | 4.1088e-06 |  4.0822e-06 |   4.0822e-06  |  4.1088e-06 |
| 0.023 | 4.1624e-06 |  4.1355e-06 |   4.1355e-06  |  4.1624e-06 |
| 0.023 | 4.2164e-06 |  4.1893e-06 |   4.1894e-06  |  4.2165e-06 |
| 0.023 | 4.2710e-06 |  4.2436e-06 |   4.2437e-06  |  4.2710e-06 |
| 0.024 | 4.3260e-06 |  4.2984e-06 |   4.2984e-06  |  4.3260e-06 |
| 0.024 | 4.3814e-06 |  4.3536e-06 |   4.3536e-06  |  4.3815e-06 |
| 0.024 | 4.4374e-06 |  4.4093e-06 |   4.4093e-06  |  4.4374e-06 |
| 0.024 | 4.4938e-06 |  4.4655e-06 |   4.4655e-06  |  4.4938e-06 |
| 0.024 | 4.5506e-06 |  4.5221e-06 |   4.5222e-06  |  4.5507e-06 |
| 0.024 | 4.6080e-06 |  4.5792e-06 |   4.5793e-06  |  4.6080e-06 |
| 0.024 | 4.6658e-06 |  4.6368e-06 |   4.6369e-06  |  4.6659e-06 |
| 0.024 | 4.7242e-06 |  4.6949e-06 |   4.6950e-06  |  4.7242e-06 |
| 0.024 | 4.7830e-06 |  4.7535e-06 |   4.7535e-06  |  4.7830e-06 |
| 0.024 | 4.8423e-06 |  4.8125e-06 |   4.8126e-06  |  4.8423e-06 |
| 0.025 | 4.9020e-06 |  4.8721e-06 |   4.8721e-06  |  4.9021e-06 |
| 0.025 | 4.9623e-06 |  4.9321e-06 |   4.9321e-06  |  4.9624e-06 |
| 0.025 | 5.0231e-06 |  4.9926e-06 |   4.9926e-06  |  5.0231e-06 |
| 0.025 | 5.0843e-06 |  5.0536e-06 |   5.0537e-06  |  5.0844e-06 |
| 0.025 | 5.1461e-06 |  5.1151e-06 |   5.1152e-06  |  5.1461e-06 |
| 0.025 | 5.2083e-06 |  5.1771e-06 |   5.1772e-06  |  5.2084e-06 |
| 0.025 | 5.2711e-06 |  5.2396e-06 |   5.2397e-06  |  5.2711e-06 |
| 0.025 | 5.3343e-06 |  5.3026e-06 |   5.3027e-06  |  5.3344e-06 |
| 0.025 | 5.3981e-06 |  5.3661e-06 |   5.3662e-06  |  5.3981e-06 |
| 0.025 | 5.4624e-06 |  5.4301e-06 |   5.4302e-06  |  5.4624e-06 |
| 0.026 | 5.5271e-06 |  5.4947e-06 |   5.4947e-06  |  5.5272e-06 |
| 0.026 | 5.5924e-06 |  5.5597e-06 |   5.5597e-06  |  5.5924e-06 |
| 0.026 | 5.6582e-06 |  5.6252e-06 |   5.6252e-06  |  5.6582e-06 |
| 0.026 | 5.7245e-06 |  5.6913e-06 |   5.6913e-06  |  5.7245e-06 |
| 0.026 | 5.7913e-06 |  5.7578e-06 |   5.7579e-06  |  5.7914e-06 |
| 0.026 | 5.8587e-06 |  5.8249e-06 |   5.8249e-06  |  5.8587e-06 |
| 0.026 | 5.9265e-06 |  5.8925e-06 |   5.8925e-06  |  5.9266e-06 |
| 0.026 | 5.9949e-06 |  5.9606e-06 |   5.9607e-06  |  5.9950e-06 |
| 0.026 | 6.0638e-06 |  6.0293e-06 |   6.0293e-06  |  6.0639e-06 |
| 0.026 | 6.1332e-06 |  6.0984e-06 |   6.0985e-06  |  6.1333e-06 |
| 0.026 | 6.2032e-06 |  6.1681e-06 |   6.1682e-06  |  6.2033e-06 |
| 0.027 | 6.2737e-06 |  6.2384e-06 |   6.2384e-06  |  6.2737e-06 |
